sampleID,d15N,d13C
vOIarzMvGlgGYsjowt2fihK2TlKWC6gxYSqtpOQgn5E=,-2.7,-29.5
vOIarzMvGlg04p2XhkcV4ubzj+23LgYTQ51SpDwliJE=,-2.3,-29.3
vOIarzMvGliaklg0KdNYHhYvHmy1htez+MX+VsYoX0w=,-4.1,-29.2
vOIarzMvGlggtSAtpZokAazdbIV1gXuSaipiyRxuVpk=,-4.7,-28.9
vOIarzMvGlgA+4h+hI6kSYY7FX/QKGOy3ZD6elNJ5DA=,-4,-30
vOIarzMvGlgxc1J/YgiHbyg39cAsBSa2S/DZ1N1BBeM=,-4.2,-29.3
vOIarzMvGljqcaHti5RX4MbD/aC8cxeX0y7VDTdttVI=,-3.2,-29.4
vOIarzMvGli/jyfR0JsN+CRGHbHCa4khccNCOHiqvak=,-3.1,-29.3
vOIarzMvGlgUL6X8nUTHVzoVORji2FLFYo34UlxWR9w=,-4.7,-29.8
vOIarzMvGliqgT8LShYclzhzbztLvcGmiYyWpzEv+Vs=,-3.8,-28.3
vOIarzMvGliaklg0KdNYHoMZLjy5/S73MbiMx4xHshA=,-4.2,-28.9
vOIarzMvGlgAlbr1qwG85cbrlx+iaqNMqDE0blr86UU=,-4.2,-29
vOIarzMvGliwbC+EobvpkTosJSgXlPFVYXPJ345mvls=,-2.8,-28.2
vOIarzMvGlgxOaVJyQsDKzwAJs1YhXkUcaTjtKPcrIs=,-3.5,-30.6
vOIarzMvGlgxOaVJyQsDKzwAJs1YhXkUcaTjtKPcrIs=,-3.4,-30.6
8YsBtW+LzBassxoNPqOCfsP6SnXsMbtCJQxYJTchQCM=,-3.2,-28.8
8YsBtW+LzBbAWUjQ/Py/wXylj2i3a6ewjwi9J3xqT8w=,-2.4,-30.1
8YsBtW+LzBYzk8iY5xZI+Azf0kOAAgikXW6N+AMlUNk=,-3.5,-27.5
8YsBtW+LzBaBNRgmmnlcAtcJtSFF5t0JRNiFpuGWGag=,-3,-29.4
8YsBtW+LzBaBNRgmmnlcAtcJtSFF5t0JRNiFpuGWGag=,-3,-29.4
8YsBtW+LzBZIhqe20cuOavAv4ImZl4kQ0FAUnD62NHI=,-2.6,-28
8YsBtW+LzBassxoNPqOCfmqlBFQbOIaEsDYm/J6Hb+A=,-3.8,-30.4
8YsBtW+LzBYUtrl3C55a8MkOztb7It+BuskThdGIzu8=,-5.5,-27.9
8YsBtW+LzBalX5oNx5Y8h6FP+rrxc8yb0wjqxGwntTM=,-3.3,-31.3
8YsBtW+LzBZk7IIQRxP4MKSGoPYPQ+jDJuC6zTEw/Jk=,-5.8,-28.2
8YsBtW+LzBZkoqqz3jse/LJxa0R2vLFj75RqYdHCkpI=,-4,-29.9
8YsBtW+LzBaumRUTuUa2OOQteI6cAchRNPcVzjuJ9iw=,-2.4,-30.1
8YsBtW+LzBZIcn582PMpH6I41CmT/G3X1nUEq2NGE98=,-3.7,-28.1
8YsBtW+LzBa4bqYOE8l8PKOG6JWOVejQ6jtB3auPH2I=,-3,-29.3
8YsBtW+LzBa4bqYOE8l8PKOG6JWOVejQ6jtB3auPH2I=,-3,-29.3
8YsBtW+LzBanOM6nPxgKM/5eFEOWOUdtvdruu1PyCRI=,-4.6,-29
8YsBtW+LzBZoC/dzSdnAZgq/QwKOBjpLQ0QosHXH3RY=,-2.1,-28.7
8YsBtW+LzBboROEjlsJZMKV8FVNrP+Mrvb+V9wz2Giw=,-3.3,-28.4
8YsBtW+LzBZoC/dzSdnAZtuokiVPhwr6JNPqUyDXSd8=,-5.7,-29.2
8YsBtW+LzBZoC/dzSdnAZnyBFjkM9ZUusW9rG70uS4g=,-3.2,-28.8
8YsBtW+LzBYBYnfepUqqs+rdfHyJssOjZLqXLNzw4+I=,-3.9,-29.3
8YsBtW+LzBYBYnfepUqqs06Bxhj4+adaLgqb5N4p0+g=,-6,-29.6
8YsBtW+LzBbZU6Zj0MjQkLSHNRx9gjMYpJP8hwT3vKg=,-3.6,-30.5
8YsBtW+LzBaQ0JG/YjGQXWa0LLhU/PQbmss51czB4eI=,-2,-28.4
8YsBtW+LzBaQ0JG/YjGQXWa0LLhU/PQbmss51czB4eI=,-2,-28.5
8YsBtW+LzBZ3GiG891H0j0ugWM2GcaLhCCdh9h1cPIs=,-3.4,-27.2
8YsBtW+LzBZ3GiG891H0j/SG0HQeZsS/BKLVWWk/5zU=,-0.9,-27.8
